,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
168,grand gaube,MU,75.6,light rain,-20.0064,57.6608,Coco Villa
176,buchanan,LR,78.21,light rain,5.8808,-10.0467,Phillipmena's Guesthouse
185,lompoc,US,77.02,clear sky,34.6391,-120.4579,Embassy Suites by Hilton Lompoc Central Coast
187,riohacha,CO,81.55,scattered clouds,11.5444,-72.9072,IMPERIAL
195,sorong,ID,81.43,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
197,bosaso,SO,76.46,clear sky,11.2842,49.1816,Bosaso hotel
230,kloulklubed,PW,83.39,broken clouds,7.0419,134.2556,The Adventures Inn
232,manta,EC,78.58,scattered clouds,-0.95,-80.7333,La Gaviota
241,sinnamary,GF,79.47,overcast clouds,5.3833,-52.95,Hôtel du fleuve
245,sao filipe,CV,78.13,clear sky,14.8961,-24.4956,Bela Vista
248,waingapu,ID,77.63,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
252,cacoal,BR,80.91,overcast clouds,-11.4386,-61.4472,Cacoal Palace Hotel
255,lorengau,PG,84.11,scattered clouds,-2.0226,147.2712,Seeadler Bay Hotel
263,mahebourg,MU,75.49,few clouds,-20.4081,57.7,Grand Bel Air
266,tual,ID,83.64,overcast clouds,-5.6667,132.75,Suita
270,sao joao da barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
271,port blair,IN,77.04,mist,11.6667,92.75,Andaman Ocean Breeze
275,teahupoo,PF,76.96,scattered clouds,-17.8333,-149.2667,Vanira Lodge
278,saint-georges,GD,82.08,few clouds,12.0564,-61.7485,Deyna's City Inn
279,antsohihy,MG,75.24,clear sky,-14.8796,47.9875,Escale
290,mitsamiouli,KM,77.97,clear sky,-11.3847,43.2844,Hotel le Paradis
291,emerald,AU,75.34,overcast clouds,-23.5333,148.1667,Emerald Central Hotel
296,san cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Terra Sur
300,vila velha,BR,76.95,moderate rain,-20.3297,-40.2925,Hotel Prainha
312,tamale,GH,80.87,few clouds,9.4008,-0.8393,Alhassan Hotel
315,touros,BR,79.45,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
316,eyl,SO,78.12,scattered clouds,7.9803,49.8164,فندق ايل دابي
323,simplicio mendes,BR,80.46,overcast clouds,-7.8539,-41.9103,Fidalgo
337,alappuzha,IN,76.73,overcast clouds,9.49,76.3264,Unnis Hotel
341,faanui,PF,79.21,few clouds,-16.4833,-151.75,Oa Oa Lodge
366,bani,DO,85.44,clear sky,18.2833,-70.3333,HOTEL GLAMOURS
368,bull savanna,JM,79.34,few clouds,17.8868,-77.5902,Junction Guest House
374,mackay,AU,82.69,few clouds,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
377,chinu,CO,79.03,overcast clouds,9.1057,-75.3981,Restaurante y Hotel Punto y Coma
381,cockburn town,TC,82.36,scattered clouds,21.4612,-71.1419,The Salt Raker Inn
385,san carlos de bariloche,AR,85.75,few clouds,-41.1456,-71.3082,Kronos
411,mount isa,AU,85.77,scattered clouds,-20.7333,139.5,Ibis Styles
416,mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Vahiny Hotel
425,koungou,YT,76.71,clear sky,-12.7336,45.2042,Hôtel Trévani
447,bayeux,BR,78.35,overcast clouds,-7.125,-34.9322,Hotel Globo
450,bouna,CI,76.3,clear sky,9.2667,-3.0,Hôtel Éléphant  Bouna
461,bucerias,MX,78.98,scattered clouds,20.75,-105.3333,Royal Decameron Complex
469,luanda,AO,77.0,broken clouds,-8.8368,13.2343,Hotel Forum
