,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,kavieng,PG,-2.5744,150.7967,83.55,61,78,5.93,broken clouds
144,broken hill,AU,-31.95,141.4333,65.14,61,0,19.8,clear sky
145,isangel,VU,-19.55,169.2667,78.03,83,66,7.85,broken clouds
146,jalu,LY,29.0331,21.5482,64.38,55,100,10.71,overcast clouds
147,wynyard,AU,-41.0,145.7167,55.98,72,79,10.58,broken clouds
148,magadan,RU,59.5667,150.8,10.26,91,100,16.49,overcast clouds
149,thabazimbi,ZA,-24.5917,27.4116,65.21,80,22,9.91,moderate rain
150,santiago,CL,-33.4569,-70.6483,91.29,32,0,19.57,clear sky
151,pindiga,NG,9.9833,10.9333,73.6,22,2,7.45,clear sky
152,sompeta,IN,18.9333,84.6,67.06,64,9,5.01,clear sky
153,riberalta,BO,-10.9833,-66.1,95.2,49,75,8.05,broken clouds
154,ust-ishim,RU,57.6935,71.1665,-14.01,95,98,3.02,overcast clouds
155,bang saphan,TH,11.2126,99.5117,74.53,90,51,2.01,broken clouds
156,borgo san dalmazzo,IT,44.333,7.4858,43.88,52,11,3.96,few clouds
157,sola,VU,-13.8833,167.55,81.27,78,75,0.0,moderate rain
158,dingle,PH,10.9995,122.6711,74.12,92,23,7.05,few clouds
159,funtua,NG,11.5233,7.3081,66.6,23,93,8.68,overcast clouds
160,amapa,BR,1.0,-52.0,82.22,56,59,4.9,broken clouds
161,richards bay,ZA,-28.783,32.0377,69.75,91,100,1.61,light rain
162,houma,US,29.5958,-90.7195,71.01,97,75,11.5,broken clouds
163,camopi,GF,3.1655,-52.3158,81.59,66,61,6.17,light rain
164,billings,US,45.7833,-108.5007,38.66,89,100,3.44,overcast clouds
165,khorinsk,RU,52.1657,109.7726,1.35,98,99,1.41,overcast clouds
166,axim,GH,4.8699,-2.2405,78.6,83,39,7.54,scattered clouds
167,balsas,BR,-7.5325,-46.0356,73.22,89,100,3.89,overcast clouds
168,grand gaube,MU,-20.0064,57.6608,75.6,77,20,1.99,light rain
169,naze,JP,28.3667,129.4833,65.32,69,100,10.98,overcast clouds
170,saint george,US,37.1041,-113.5841,48.79,29,20,0.0,few clouds
171,half moon bay,US,37.4636,-122.4286,68.92,52,0,12.66,mist
172,tasiilaq,GL,65.6145,-37.6368,23.56,62,100,5.55,overcast clouds
173,predivinsk,RU,57.0669,93.4378,-12.78,86,98,6.96,overcast clouds
174,barrow,US,71.2906,-156.7887,3.22,78,100,9.22,overcast clouds
175,te anau,NZ,-45.4167,167.7167,51.8,55,58,0.89,broken clouds
176,buchanan,LR,5.8808,-10.0467,78.21,84,63,6.73,light rain
177,preston,GB,53.7667,-2.7167,53.69,88,100,24.07,light rain
178,codrington,AU,-38.2667,141.9667,56.97,70,100,11.5,overcast clouds
179,raudeberg,NO,61.9875,5.1352,50.86,65,100,16.96,overcast clouds
180,loviisa,FI,60.4566,26.2251,30.42,92,100,9.37,light snow
181,christchurch,NZ,-43.5333,172.6333,56.91,85,100,3.44,overcast clouds
182,derzhavinsk,KZ,51.1,66.3167,-3.44,79,92,13.51,overcast clouds
183,aitape,PG,-3.1374,142.3475,80.65,77,100,3.29,overcast clouds
184,siguiri,GN,11.6667,-9.5,75.22,21,18,2.3,few clouds
185,lompoc,US,34.6391,-120.4579,77.02,51,0,17.27,clear sky
186,tuatapere,NZ,-46.1333,167.6833,51.71,55,81,2.06,broken clouds
187,riohacha,CO,11.5444,-72.9072,81.55,78,31,10.8,scattered clouds
188,margara,AM,40.0335,44.1771,48.31,86,100,1.21,overcast clouds
189,joshimath,IN,30.5667,79.5667,51.62,25,41,7.52,scattered clouds
